dataset,selected_config,selected_cal_MASE,selected_test_MASE,complete_test_MASE
AAPL,Complete,0.6237825978750854,0.5994800031759039,0.5994800031759039
ETTh1,F,2.15720082776726,2.2915476118146656,2.189666186338794
ETTm2,F+S,8.331285513505941,8.972393177863243,32.17505917440284
Energy,F,1.5308897655360425,1.80227066235604,2.9341306998961887
ExchangeRate,F+S,35.32502376567591,17.269307746655837,22.353108198538944
Jena,F+S,7.887753379360151,8.587653839025053,14.67754030708445
