dataset,origin,seed,teacher,student,r_stu,r_legacy,teacher_cal_MASE,ns_cal_MASE,g_soft,action,g_hard
ETTh1,0,42,QELM,DLinear,0.4453564040866268,0.5305896550581664,4.512464428225342,2.009654931323255,0.0,reject,0.0
ETTh1,0,42,QELM,PatchTST,0.4623693574135366,0.5305896550581664,4.512464428225342,2.086425278029993,0.0,reject,0.0
ETTh1,0,42,QELM,N-HiTS,0.46755029398493025,0.5305896550581664,4.512464428225342,2.1098040700132987,0.0,reject,0.0
ETTh1,0,42,QELM-NISQ,DLinear,0.42493667480498964,0.5056604178493093,4.729304506949225,2.009654931323255,0.0,reject,0.0
ETTh1,0,42,QELM-NISQ,PatchTST,0.43803668924300676,0.5056604178493093,4.763129046645954,2.086425278029993,0.0,reject,0.0
ETTh1,0,42,QELM-NISQ,N-HiTS,0.44190584321341636,0.5056604178493093,4.774329424275973,2.1098040700132987,0.0,reject,0.0
ETTh1,0,42,ClassicalELM,DLinear,0.8760677622333133,1.0,2.2939491874465823,2.009654931323255,0.9401694055832832,attenuate,0.0
ETTh1,0,42,ClassicalELM,PatchTST,0.9095342169947599,1.0,2.2939491874465823,2.086425278029993,1.0,accept,0.0
ETTh1,0,42,ClassicalELM,N-HiTS,0.9197257208481339,1.0,2.2939491874465823,2.1098040700132987,1.0,accept,0.0
ETTh1,0,123,QELM,DLinear,0.4302853642674977,0.5127234355784686,4.669705483146225,2.0093059248375047,0.0,reject,0.0
ETTh1,0,123,QELM,PatchTST,0.44807077416537044,0.5127234355784686,4.669705483146225,2.0923585509576044,0.0,reject,0.0
ETTh1,0,123,QELM,N-HiTS,0.4456466880340751,0.5127234355784686,4.669705483146225,2.0810387826586756,0.0,reject,0.0
ETTh1,0,123,QELM-NISQ,DLinear,0.42561559720944775,0.5041994512946858,4.720940534161661,2.0093059248375047,0.0,reject,0.0
