dataset,teacher,seed,epoch,gate,r_global,distill_weight
ETTh1,QELM,42,0,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,1,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,2,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,3,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,4,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,5,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,6,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,7,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,8,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,9,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,10,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,11,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,12,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,13,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,14,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,15,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,16,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,QELM,42,17,0.08165597819930075,0.08165597819930075,0.024496793459790223
ETTh1,VQC,42,0,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,1,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,2,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,3,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,4,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,5,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,6,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,7,0.10703139062084306,0.10703139062084306,0.03210941718625292
ETTh1,VQC,42,8,0.10703139062084306,0.10703139062084306,0.03210941718625292
