dataset,origin,seed,model,teacher,student,policy,picked,MASE,MAE,RMSE,cal_MASE,persistence_MASE,diverged
AAPL,0,123,DLinear_ValSelect[QELM],QELM,DLinear,ValSelect,DLinear_NaiveKD[QELM],1.244239077659287,0.0357052221685849,0.0596802906178207,0.9062101816785312,1.7727738299313769,False
AAPL,0,123,DLinear_HardRejectPersist[QELM],QELM,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM],1.244239077659287,0.0357052221685849,0.0596802906178207,0.9062101816785312,1.7727738299313769,False
AAPL,0,123,DLinear_Oracle[QELM],QELM,DLinear,Oracle,DLinear_NaiveKD[QELM],1.244239077659287,0.0357052221685849,0.0596802906178207,0.9062101816785312,1.7727738299313769,False
AAPL,0,123,PatchTST_ValSelect[QELM],QELM,PatchTST,ValSelect,PatchTST_NaiveKD[QELM],1.2383601173844303,0.0355365169844261,0.0595365745105587,0.9024333560878596,1.7727738299313769,False
AAPL,0,123,PatchTST_HardRejectPersist[QELM],QELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM],1.2383601173844303,0.0355365169844261,0.0595365745105587,0.9024333560878596,1.7727738299313769,False
AAPL,0,123,PatchTST_Oracle[QELM],QELM,PatchTST,Oracle,PatchTST_NaiveKD[QELM],1.2383601173844303,0.0355365169844261,0.0595365745105587,0.9024333560878596,1.7727738299313769,False
AAPL,0,123,N-HiTS_ValSelect[QELM],QELM,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM],1.2341428554833715,0.0354154966147688,0.0594652276311833,0.897025513579304,1.7727738299313769,False
AAPL,0,123,N-HiTS_HardRejectPersist[QELM],QELM,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM],1.2341428554833715,0.0354154966147688,0.0594652276311833,0.897025513579304,1.7727738299313769,False
AAPL,0,123,N-HiTS_Oracle[QELM],QELM,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM],1.2341428554833715,0.0354154966147688,0.0594652276311833,0.897025513579304,1.7727738299313769,False
AAPL,0,123,DLinear_ValSelect[QELM-NISQ],QELM-NISQ,DLinear,ValSelect,DLinear_NaiveKD[QELM-NISQ],1.2442447859000236,0.0357053859747274,0.0596794181512831,0.906220018751032,1.7727738299313769,False
AAPL,0,123,DLinear_HardRejectPersist[QELM-NISQ],QELM-NISQ,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM-NISQ],1.2442447859000236,0.0357053859747274,0.0596794181512831,0.906220018751032,1.7727738299313769,False
AAPL,0,123,DLinear_Oracle[QELM-NISQ],QELM-NISQ,DLinear,Oracle,DLinear_NaiveKD[QELM-NISQ],1.2442447859000236,0.0357053859747274,0.0596794181512831,0.906220018751032,1.7727738299313769,False
AAPL,0,123,PatchTST_ValSelect[QELM-NISQ],QELM-NISQ,PatchTST,ValSelect,PatchTST_NaiveKD[QELM-NISQ],1.238384962728407,0.0355372299571517,0.0595359096993534,0.902425929052914,1.7727738299313769,False
AAPL,0,123,PatchTST_HardRejectPersist[QELM-NISQ],QELM-NISQ,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM-NISQ],1.238384962728407,0.0355372299571517,0.0595359096993534,0.902425929052914,1.7727738299313769,False
AAPL,0,123,PatchTST_Oracle[QELM-NISQ],QELM-NISQ,PatchTST,Oracle,PatchTST_NaiveKD[QELM-NISQ],1.238384962728407,0.0355372299571517,0.0595359096993534,0.902425929052914,1.7727738299313769,False
AAPL,0,123,N-HiTS_ValSelect[QELM-NISQ],QELM-NISQ,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM-NISQ],1.2341158112044204,0.035414720540455,0.0594645208028845,0.897007914101698,1.7727738299313769,False
AAPL,0,123,N-HiTS_HardRejectPersist[QELM-NISQ],QELM-NISQ,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM-NISQ],1.2341158112044204,0.035414720540455,0.0594645208028845,0.897007914101698,1.7727738299313769,False
AAPL,0,123,N-HiTS_Oracle[QELM-NISQ],QELM-NISQ,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM-NISQ],1.2341158112044204,0.035414720540455,0.0594645208028845,0.897007914101698,1.7727738299313769,False
AAPL,0,123,DLinear_ValSelect[ClassicalELM],ClassicalELM,DLinear,ValSelect,DLinear_NaiveKD[ClassicalELM],1.2465158684546973,0.0357705579409787,0.0597644527180358,0.9086486697886924,1.7727738299313769,False
AAPL,0,123,DLinear_HardRejectPersist[ClassicalELM],ClassicalELM,DLinear,HardRejectPersist,DLinear_NaiveKD[ClassicalELM],1.2465158684546973,0.0357705579409787,0.0597644527180358,0.9086486697886924,1.7727738299313769,False
AAPL,0,123,DLinear_Oracle[ClassicalELM],ClassicalELM,DLinear,Oracle,DLinear_NaiveKD[ClassicalELM],1.2465158684546973,0.0357705579409787,0.0597644527180358,0.9086486697886924,1.7727738299313769,False
AAPL,0,123,PatchTST_ValSelect[ClassicalELM],ClassicalELM,PatchTST,ValSelect,PatchTST_NaiveKD[ClassicalELM],1.2389651735868024,0.0355538799386349,0.0595172824572594,0.9029778581617488,1.7727738299313769,False
AAPL,0,123,PatchTST_HardRejectPersist[ClassicalELM],ClassicalELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[ClassicalELM],1.2389651735868024,0.0355538799386349,0.0595172824572594,0.9029778581617488,1.7727738299313769,False
AAPL,0,123,PatchTST_Oracle[ClassicalELM],ClassicalELM,PatchTST,Oracle,PatchTST_NaiveKD[ClassicalELM],1.2389651735868024,0.0355538799386349,0.0595172824572594,0.9029778581617488,1.7727738299313769,False
AAPL,0,123,N-HiTS_ValSelect[ClassicalELM],ClassicalELM,N-HiTS,ValSelect,N-HiTS_NaiveKD[ClassicalELM],1.234269740791739,0.0354191377704008,0.0594726456960524,0.8970630795601727,1.7727738299313769,False
AAPL,0,123,N-HiTS_HardRejectPersist[ClassicalELM],ClassicalELM,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[ClassicalELM],1.234269740791739,0.0354191377704008,0.0594726456960524,0.8970630795601727,1.7727738299313769,False
AAPL,0,123,N-HiTS_Oracle[ClassicalELM],ClassicalELM,N-HiTS,Oracle,N-HiTS_NaiveKD[ClassicalELM],1.234269740791739,0.0354191377704008,0.0594726456960524,0.8970630795601727,1.7727738299313769,False
AAPL,0,2024,DLinear_ValSelect[QELM],QELM,DLinear,ValSelect,DLinear_NaiveKD[QELM],1.2471288783184322,0.0357881491368905,0.0597192106067249,0.9059702512369672,1.7727738299313769,False
AAPL,0,2024,DLinear_HardRejectPersist[QELM],QELM,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM],1.2471288783184322,0.0357881491368905,0.0597192106067249,0.9059702512369672,1.7727738299313769,False
