family,teacher,dataset,comparison,n_windows,p_value,cliffs_delta,effect,mean_diff,median_diff,p_holm,significant
F2_cost_of_distillation,QELM,AAPL,Ada[QELM] vs NS,912,1.3185478796726756e-25,-0.005665204678362573,negligible,-4.545183401205577e-05,-4.696287214756012e-05,6.592739398363378e-25,True
F2_cost_of_distillation,VQC,ETTh1,Ada[VQC] vs NS,2613,0.18140310899741274,-0.009363555555555556,negligible,0.0536494180560112,0.016429603099822998,0.18140310899741274,False
F2_cost_of_distillation,VQC,ETTm2,Ada[VQC] vs NS,3000,0.0,0.8571333333333333,large,3.8874664306640625,3.580209732055664,0.0,True
F2_cost_of_distillation,VQC,Energy,Ada[VQC] vs NS,3000,0.0,0.5176417777777778,large,1127.5283203125,1058.0992431640625,0.0,True
F2_cost_of_distillation,VQC,ExchangeRate,Ada[VQC] vs NS,1139,3.276566687438814e-164,0.17335339518900875,small,0.003928641323000193,0.004641443490982056,3.931880024926577e-163,True
F2_cost_of_distillation,VQC,Jena,Ada[VQC] vs NS,3000,1.2845488350442952e-264,0.42424355555555554,medium,1.0565153360366821,0.6383026242256165,2.0552781360708724e-263,True
F2_cost_of_distillation,VQC,AAPL,Ada[VQC] vs NS,912,9.550436001841938e-10,-0.0032077177593105573,negligible,-2.439819036226254e-05,-2.5634653866291046e-05,3.820174400736775e-09,True
F2_cost_of_distillation,QRC,ETTh1,Ada[QRC] vs NS,2613,1.8033987723302138e-28,-0.14584711111111112,negligible,-0.08821447938680649,-0.14490461349487305,1.0820392633981282e-27,True
F2_cost_of_distillation,QRC,ETTm2,Ada[QRC] vs NS,3000,0.0,0.5478631111111111,large,2.3240580558776855,1.974241018295288,0.0,True
F2_cost_of_distillation,QRC,Energy,Ada[QRC] vs NS,3000,8.386559026197762e-195,0.3621831111111111,medium,875.080078125,678.9149169921875,1.0902526734057091e-193,True
F2_cost_of_distillation,QRC,ExchangeRate,Ada[QRC] vs NS,1139,1.03603418992965e-140,0.1047751481707303,negligible,0.0023887515999376774,0.0027924180030822754,1.03603418992965e-139,True
F2_cost_of_distillation,QRC,Jena,Ada[QRC] vs NS,3000,1.6305305774658393e-205,0.3501964444444444,medium,0.9572949409484863,0.5102272033691406,2.282742808452175e-204,True
F2_cost_of_distillation,QRC,AAPL,Ada[QRC] vs NS,912,6.570049488974325e-100,0.0429170514004309,negligible,0.0003478528233245015,0.00035011954605579376,4.5990346422820274e-99,True
F2_cost_of_distillation,QKRR,ETTh1,Ada[QKRR] vs NS,2613,2.9830785880962584e-07,-0.09946577777777778,negligible,-0.016919363290071487,-0.11406028270721436,8.949235764288775e-07,True
F2_cost_of_distillation,QKRR,ETTm2,Ada[QKRR] vs NS,3000,0.0,0.7484942222222222,large,3.021699905395508,3.0074050426483154,0.0,True
F2_cost_of_distillation,QKRR,Energy,Ada[QKRR] vs NS,3000,1.7027201449249494e-276,0.46547644444444447,medium,1118.7154541015625,996.016845703125,2.894624246372414e-275,True
F2_cost_of_distillation,QKRR,ExchangeRate,Ada[QKRR] vs NS,1139,1.238016713762717e-129,0.05804423115019336,negligible,0.0011556956451386213,0.0013659633696079254,9.904133710101736e-129,True
F2_cost_of_distillation,QKRR,Jena,Ada[QKRR] vs NS,3000,1.7188208717878025e-258,0.3425377777777778,medium,0.7550312280654907,0.4204583168029785,2.578231307681704e-257,True
F2_cost_of_distillation,QKRR,AAPL,Ada[QKRR] vs NS,912,9.992145101360614e-139,0.14081977146814403,negligible,0.0011706885416060686,0.0011822162196040154,8.992930591224553e-138,True
