student,tau,coverage,harm_rate,mean_regret,cvar95
DLinear,0.0,1.0,0.8,1.1886197256358444,6.753194060007556
DLinear,0.05,1.0,0.8,1.1886197256358444,6.753194060007556
DLinear,0.1,0.9888888888888889,0.7888888888888889,1.1822755482097176,6.753194060007556
DLinear,0.15,0.9111111111111111,0.7111111111111111,0.901835150529133,6.017307165128825
DLinear,0.2,0.8,0.6,0.41720578030265754,3.5678252709576883
DLinear,0.25,0.7444444444444445,0.5444444444444444,0.2845627354685605,2.7547438246442715
DLinear,0.3,0.6888888888888889,0.4888888888888889,0.17148942450662966,2.0363024905623432
DLinear,0.35,0.6,0.4,0.10176958847435828,1.1203915341990993
DLinear,0.4,0.5111111111111111,0.3111111111111111,0.04077905650634154,0.38462621955618576
DLinear,0.45,0.43333333333333335,0.23333333333333334,0.02073221915530574,0.2628255121719974
DLinear,0.5,0.4111111111111111,0.2111111111111111,0.015588834678876687,0.22374497562124632
DLinear,0.55,0.4,0.2,0.013716152953320663,0.20924939860661543
DLinear,0.6,0.36666666666666664,0.16666666666666666,0.005645180756529197,0.10817483222006423
DLinear,0.65,0.34444444444444444,0.14444444444444443,0.004583015337450103,0.0962748344728837
DLinear,0.7,0.3333333333333333,0.13333333333333333,0.004473155392513551,0.0962748344728837
DLinear,0.75,0.28888888888888886,0.1111111111111111,0.004274146976418252,0.08984282294580707
DLinear,0.8,0.2,0.03333333333333333,-0.000889665971071364,0.00014304537905604302
DLinear,0.85,0.2,0.03333333333333333,-0.000889665971071364,0.00014304537905604302
DLinear,0.9,0.16666666666666666,0.0,-0.0010088704536180665,0.0
DLinear,0.95,0.16666666666666666,0.0,-0.0010088704536180665,0.0
DLinear,1.0,0.14444444444444443,0.0,-0.000832239740494942,0.0
PatchTST,0.0,1.0,0.7222222222222222,1.1617592357828093,5.91631107595864
PatchTST,0.05,1.0,0.7222222222222222,1.1617592357828093,5.91631107595864
PatchTST,0.1,1.0,0.7222222222222222,1.1617592357828093,5.91631107595864
PatchTST,0.15,0.9444444444444444,0.6666666666666666,1.0025771754461643,5.9107211783848665
PatchTST,0.2,0.8666666666666667,0.5888888888888889,0.5599096301031438,3.422483588881714
PatchTST,0.25,0.8333333333333334,0.5555555555555556,0.4355091871263925,2.757262719106002
PatchTST,0.3,0.7333333333333333,0.45555555555555555,0.30200686794467313,2.6485124380801426
PatchTST,0.35,0.6111111111111112,0.34444444444444444,0.23400778494262145,2.6149129458638285
PatchTST,0.4,0.5222222222222223,0.25555555555555554,0.15768827759484258,2.1382172383202365
PatchTST,0.45,0.4888888888888889,0.2222222222222222,0.11304001133451755,1.6374316666850202
PatchTST,0.5,0.4777777777777778,0.2111111111111111,0.11185506997022776,1.6374316666850202
PatchTST,0.55,0.4666666666666667,0.2,0.10717540128956939,1.6374316666850202
PatchTST,0.6,0.45555555555555555,0.18888888888888888,0.10151997068815159,1.6374316666850202
PatchTST,0.65,0.43333333333333335,0.16666666666666666,0.08239378790561351,1.447065716724184
PatchTST,0.7,0.37777777777777777,0.14444444444444443,0.050928173255735135,0.9350385348387322
PatchTST,0.75,0.3,0.07777777777777778,0.04013302286006686,0.8560630193163103
PatchTST,0.8,0.23333333333333334,0.03333333333333333,0.0013604716487942248,0.0082315144244035
PatchTST,0.85,0.2222222222222222,0.022222222222222223,-0.0031608985207437377,0.002579801712481048
PatchTST,0.9,0.18888888888888888,0.022222222222222223,0.0016859720663538272,0.0024766096439818065
PatchTST,0.95,0.16666666666666666,0.0,-0.0003778693036310115,0.0
PatchTST,1.0,0.05555555555555555,0.0,-0.00012414378059790978,0.0
N-HiTS,0.0,1.0,0.6888888888888889,1.2907861794937014,6.782701389211783
N-HiTS,0.05,1.0,0.6888888888888889,1.2907861794937014,6.782701389211783
N-HiTS,0.1,1.0,0.6888888888888889,1.2907861794937014,6.782701389211783
N-HiTS,0.15,0.9555555555555556,0.6444444444444445,1.1901619611306131,6.782701389211783
N-HiTS,0.2,0.8111111111111111,0.5,0.38718371019069714,3.4110214388682847
N-HiTS,0.25,0.7666666666666667,0.45555555555555555,0.2562319817258193,2.2411628135800554
N-HiTS,0.3,0.7111111111111111,0.4,0.17465169806966452,1.9299514760895053
N-HiTS,0.35,0.6444444444444445,0.3333333333333333,0.11770492201715908,1.6402888229518986
N-HiTS,0.4,0.5333333333333333,0.2222222222222222,0.09349161924816837,1.6402888229518986
N-HiTS,0.45,0.4444444444444444,0.13333333333333333,0.002313430645132133,0.2784959514388829
N-HiTS,0.5,0.43333333333333335,0.12222222222222222,0.0015278720464621507,0.2784959514388829
N-HiTS,0.55,0.4222222222222222,0.1111111111111111,0.0006706746259042402,0.2761048697967785
N-HiTS,0.6,0.4,0.08888888888888889,-0.007309187382242837,0.13781307200127985
N-HiTS,0.65,0.36666666666666664,0.07777777777777778,-0.008580384895064543,0.04711832127746507
N-HiTS,0.7,0.35555555555555557,0.06666666666666667,-0.008683806517225348,0.04576201724622546
N-HiTS,0.75,0.3111111111111111,0.06666666666666667,-0.004811247160310582,0.04576201724622546
N-HiTS,0.8,0.24444444444444444,0.03333333333333333,-0.003461578034598403,0.0028462182320476578
N-HiTS,0.85,0.2111111111111111,0.022222222222222223,0.0013344371869523407,0.0027336310772206746
N-HiTS,0.9,0.18888888888888888,0.011111111111111112,0.000530153170068041,0.000880977832968783
N-HiTS,0.95,0.16666666666666666,0.0,-4.7927314328799484e-05,0.0
N-HiTS,1.0,0.0,0.0,0.0,0.0
