family,student,n_units,estimate,upper95,margin,passed
H2,DLinear,90,0.0005202980330892584,0.0012369530358371974,0.05,True
H3,DLinear,17,0.00019647926997589212,0.0005526708406742923,0.05,True
H2,PatchTST,90,0.006609925655633208,0.011110086499036885,0.05,True
H3,PatchTST,22,0.00987248836668285,0.01934733619135571,0.05,True
H2,N-HiTS,90,-0.0022883525772476763,0.00011033692442472586,0.05,True
H3,N-HiTS,19,0.003785752695614531,0.009009554575185368,0.05,True
