dataset,config,mean,std
AAPL,Complete,0.5994800031759039,0.0005181711731052907
AAPL,F,0.6007688823572458,0.0010049358692948694
AAPL,F+S,0.6007627038211859,0.0010092667034957569
AAPL,F+S+St,0.6007627038211859,0.0010092667034957569
AAPL,F+S+St+D,0.5998922324441214,0.0008834453508033326
AAPL,F+S+St+D+Obs,0.5999380335588036,0.0006223870685247921
ETTh1,Complete,2.189666186338794,0.09886027083753247
ETTh1,F,2.2915476118146656,0.09984432050865022
ETTh1,F+S,2.2843655668306564,0.11793198238667711
ETTh1,F+S+St,2.2896734486947543,0.11521533329885757
ETTh1,F+S+St+D,2.2104244205752455,0.02421730494034088
ETTh1,F+S+St+D+Obs,2.2194778125658026,0.018930640451268466
ETTm2,Complete,32.17505917440284,3.2838323388202366
ETTm2,F,9.266849907278745,0.9117093796950424
ETTm2,F+S,8.97239317786324,0.9961216332400181
ETTm2,F+S+St,8.97239317786324,0.9961216332400181
ETTm2,F+S+St+D,10.285236765192804,0.9473079283473782
ETTm2,F+S+St+D+Obs,10.72062451257536,0.9802357203265828
Energy,Complete,2.9341306998961887,0.034466567343145287
Energy,F,1.80227066235604,0.015811674130412512
Energy,F+S,1.7989575431351081,0.0058377119243698955
Energy,F+S+St,1.7989575431351081,0.0058377119243698955
Energy,F+S+St+D,1.8821117880288456,0.0025806577603615074
Energy,F+S+St+D+Obs,1.8839244886610373,0.012138328510268467
ExchangeRate,Complete,22.353108198538944,2.7968974918777474
ExchangeRate,F,17.303722731588138,0.8947529177570522
ExchangeRate,F+S,17.269307746655837,0.8824211329556714
ExchangeRate,F+S+St,17.269307746655837,0.8824211329556714
ExchangeRate,F+S+St+D,17.65942451854798,1.3018549146134908
ExchangeRate,F+S+St+D+Obs,17.726354376664446,1.395050318902651
Jena,Complete,14.67754030708445,0.32790217673623395
Jena,F,8.5943185422532,0.1177373184923291
Jena,F+S,8.587653839025052,0.12714611605803774
Jena,F+S+St,8.587653839025052,0.12714611605803774
Jena,F+S+St+D,9.04560400969911,0.011537390267447678
Jena,F+S+St+D+Obs,9.255511391413728,0.38711064914602394
